HORA:,TEMPERATURA:,PROBABILIDAD LLUVIA,Humedad,Nubosidad
00:00,18° C,0%,28%,100%
01:00,18° C,0%,28%,14%
02:00,17° C,0%,29%,3%
03:00,17° C,0%,30%,8%
04:00,17° C,0%,29%,21%
05:00,17° C,0%,29%,49%
06:00,17° C,0%,29%,48%
07:00,17° C,0%,29%,32%
08:00,16° C,0%,30%,13%
09:00,17° C,0%,31%,24%
10:00,18° C,0%,30%,50%
11:00,20° C,0%,26%,9%
12:00,21° C,0%,22%,78%
13:00,23° C,0%,20%,13%
14:00,24° C,0%,18%,14%
15:00,25° C,0%,17%,69%
16:00,26° C,0%,16%,88%
17:00,26° C,0%,15%,83%
18:00,26° C,0%,15%,100%
19:00,25° C,0%,15%,100%
20:00,23° C,0%,18%,7%
21:00,22° C,0%,20%,11%
22:00,21° C,0%,22%,9%
23:00,20° C,0%,23%,15%
